orient_error,obstacle,angular_velocity
-3.16,-0.03,0.0276406828935045
3.16,-0.03,0.233940424332916
-3.16,-1.68,-1.18254280668948
-3.16,0.03,-0.195175238907429
-0.67,-3.14,-1.11567792954001
0.67,-3.14,0.963473968748016
3.16,0.03,-0.175963574777486
-3.16,-3.14,-0.853471562352541
-3.16,-1.17,1.25840920875181
-3.16,3.14,-1.1605203562469
-0.67,-1.68,-1.15437347232582
-0.67,-1.17,0.97613505674823
-0.67,-0.03,0.0427596119295617
-0.67,0.03,-0.27244238772741
-0.67,1.17,-1.46768575945444
-0.67,3.14,-1.28244190101297
0.67,-1.17,1.16427393716855
0.67,-0.03,0.359498574871479
0.67,0.03,-0.220829638388013
0.67,1.17,-1.40706225671307
0.67,1.68,1.00185944820209
0.67,3.14,1.01032370073295
3.16,-3.14,0.969540695824692
3.16,1.17,-1.46884692241388
3.16,1.68,1.05315849806907
3.16,3.14,0.995791810796645
