dist_error,obstacle,linear_velocity
5.86,1.17,0.404242799605258
8.08,1.17,0.430345126068272
0,-3.14,0.226847872520245
5.86,3.14,0.437495078242993
8.08,3.14,0.611910838105614
20,1.17,0.435088468280106
20,1.68,0.59480877255294
0,3.14,0.234541403596954
0.61,-3.14,0.424492167460729
0.61,3.14,0.432815415200904
5.86,-3.14,0.430453466514806
5.86,-1.17,0.420575777685797
8.08,-3.14,0.59771247772101
8.08,-1.68,0.616326847043674
8.08,-1.17,0.471625450038717
8.08,1.68,0.607179897040584
20,-3.14,0.609271362444312
20,-1.68,0.613845603254119
20,-1.17,0.462852642825681
20,3.14,0.608748771607686
