orient_error,obstacle,angular_velocity_Q
-3.16,-0.03,0.027640682893504475
3.16,-0.03,0.23394042433291637
-3.16,-1.68,-1.1825428066894765
-3.16,0.03,-0.19517523890742866
-0.67,-3.14,-1.1156779295400094
0.67,-3.14,0.9634739687480162
3.16,0.03,-0.17596357477748614
-3.16,-3.14,-0.853471562352541
-3.16,-1.17,1.2584092087518117
-3.16,3.14,-1.160520356246902
-0.67,-1.68,-1.154373472325815
-0.67,-1.17,0.97613505674823
-0.67,-0.03,0.04275961192956171
-0.67,0.03,-0.27244238772740975
-0.67,1.17,-1.467685759454444
-0.67,3.14,-1.2824419010129655
0.67,-1.17,1.1642739371685484
0.67,-0.03,0.35949857487147924
0.67,0.03,-0.2208296383880125
0.67,1.17,-1.4070622567130746
0.67,1.68,1.001859448202087
0.67,3.14,1.0103237007329535
3.16,-3.14,0.9695406958246924
3.16,1.17,-1.4688469224138823
3.16,1.68,1.0531584980690667
3.16,3.14,0.995791810796645
