orient_error,obstacle,angular_velocity
-3.16,-3.14,-1.5837227593627
-3.16,-1.68,-1.4867325801419
-3.16,-1.17,1.68670485502351
-3.16,-0.03,0.10728571382962
-3.16,0.03,-0.18437044696415
-3.16,3.14,-1.52041893498858
-0.67,-3.14,-1.34946328319697
-0.67,-1.68,-1.51540479936604
-0.67,-1.17,1.62605593906239
-0.67,-0.03,0.272517324707357
-0.67,0.03,-0.0467193022243703
-0.67,1.17,-1.66790483074236
-0.67,3.14,-1.33237216026563
0.67,-3.14,1.42324205452959
0.67,-1.17,1.59257095857487
0.67,-0.03,0.132664972307987
0.67,0.03,-0.219700238198907
0.67,1.17,-1.74843817182589
0.67,1.68,1.26540061441073
0.67,3.14,1.49738179917353
3.16,-3.14,1.52144720219095
3.16,-0.03,0.197983939442353
3.16,0.03,-0.309228021037017
3.16,1.17,-1.54158089250832
3.16,1.68,1.42676593192666
3.16,3.14,1.37771299348869
