dist_error,obstacle,linear_velocity_Q
5.86,1.17,0.4042427996052576
8.08,1.17,0.43034512606827247
0.0,-3.14,0.22684787252024546
5.86,3.14,0.4374950782429934
8.08,3.14,0.6119108381056141
20.0,1.17,0.43508846828010556
20.0,1.68,0.59480877255294
0.0,3.14,0.2345414035969539
0.61,-3.14,0.42449216746072865
0.61,3.14,0.43281541520090383
5.86,-3.14,0.4304534665148063
5.86,-1.17,0.4205757776857973
8.08,-3.14,0.5977124777210104
8.08,-1.68,0.6163268470436738
8.08,-1.17,0.47162545003871675
8.08,1.68,0.6071798970405841
20.0,-3.14,0.6092713624443122
20.0,-1.68,0.613845603254119
20.0,-1.17,0.4628526428256809
20.0,3.14,0.608748771607686
