dist_error,obstacle,linear_velocity
0,-3.14,0.209542388399324
0,3.14,0.203170523877729
0.61,-3.14,0.412405380773294
0.61,3.14,0.393573207839159
5.86,-3.14,0.412083282724407
5.86,-1.17,0.401886395172945
5.86,1.17,0.403301606822808
5.86,3.14,0.407055826418242
8.08,-3.14,0.625204859516528
8.08,-1.68,0.631696047405642
8.08,-1.17,0.431541662956262
8.08,1.17,0.414538930087512
8.08,1.68,0.62595649266819
8.08,3.14,0.631885634486707
20,-3.14,0.630634160560411
20,-1.68,0.627373617299109
20,-1.17,0.42420033698074
20,1.17,0.421280398472023
20,1.68,0.623367683215164
20,3.14,0.630943218988653
